id	US-1421005	US-1421094	US-1421095	US-1420999	US-1421000	US-1421010	US-1421096	US-1421097	US-1421098	US-1421001	US-1421002	US-1421004
ENSG00000169972	21	24	32	51	56	23	17	13	21	42	45	60
ENSG00000127054	152	145	181	218	209	166	153	106	121	230	174	193
ENSG00000274153	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240731	4	0	0	0	2	1	1	0	1	3	3	1
ENSG00000224051	162	119	222	192	167	125	133	123	125	217	203	186
ENSG00000169962	0	0	0	0	3	0	1	0	0	0	0	0
ENSG00000107404	165	138	223	228	234	193	139	143	130	268	248	251
ENSG00000275884	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162576	0	0	0	0	1	0	0	0	0	0	0	1
ENSG00000175756	104	137	184	158	154	126	116	93	108	148	177	162
ENSG00000223663	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000221978	501	297	489	559	567	582	440	290	345	592.0001221	643.9998779	646
ENSG00000224870	51	38	83	61	48	48	50	45	43	67	93	86
ENSG00000242485	86	118	172	139.8155975	140	130	88	75.68830109	101	138.7129974	146	159
ENSG00000264293	0	0	1	1.184399962	1.32E-14	0	0	0.311699986	0	1.286999941	0	0
ENSG00000272455	1	4.962900162	5	5.273099899	5	2	4	4	8.535699844	11.95559978	11.65040016	9.364999771
ENSG00000235098	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225905	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000205116	1	0	0	0	1	0	1	0	0	0	1	0
ENSG00000225285	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000179403	53	43	65	59	55	41	62	34	50	66	86	80
ENSG00000215915	6.5625	1	6.245500088	1.038800001	1.00759995	2.029500008	2	0	2.072700024	3.133500099	3.191800117	3.116899967
ENSG00000160072	48.26449966	23.19400024	44.21590042	98.30889893	99.61949921	80.38439941	74.91369629	45.95690155	54.80339813	110.8419037	119.4458008	136.6880035
ENSG00000197785	75.17289734	69.80599976	110.5385971	99.65229797	114.3729019	76.58609772	73.08630371	51.04309845	65.12380219	115.0245972	102.3625031	89.19509888
ENSG00000205090	1	0	1	2	0	0	1	2	1	1	2	1
ENSG00000160075	164	199	265	225	242	255	153	112	144	273	276	256
ENSG00000215014	1	4	3	6.880700111	1	3	4.538499832	1	0	6	11.26039982	5
ENSG00000274481	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228594	0	2	1	1	0	2	0	0	1	3	1	0
ENSG00000272106	3	4	10	6	9	10	10	7	9	15	13	13
ENSG00000197530	55	21	43	61	59	36	33	35	25	56	43	48
ENSG00000189409	0.398999989	3	2.12E-17	10.08059978	5	6	2	0	2	6.586299896	5.286799908	5
ENSG00000248333	67.00370026	44.78919983	68.68520355	73.09929657	98.52510071	70.71530151	35.58720016	50.14759827	47.69100189	51.78239822	68.23970032	74.50299835
ENSG00000272004	2	0	0	0	1	0	0	0	0	2	1	0
ENSG00000189339	271.1716919	197.9472961	330.5982056	335.3190002	366.4049072	345.0007935	243.7169952	154.6974945	209.4597931	371.3876038	391.2390137	365.773407
ENSG00000269737	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000269227	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000215914	2.601000071	2.13E-42	3	2.919399977	0	0	1	0	0	1.413699985	1.713199973	2.07E-43
ENSG00000008128	20.94219971	16.59189987	22.67180061	43.89170074	60.62409973	51.08340073	25.62150002	25.54500008	12.5486002	40.08200073	35.91460037	38.82759857
ENSG00000268575	23.27689934	13.6189003	23.64310074	40.00899887	34.85079956	44.31959915	25.79140091	11.30739975	23.14900017	36.13560104	59.84569931	45.16529846
ENSG00000227775	0	0	0	0	1	0	0	0	1	0	0	1
ENSG00000215790	18.60540009	19.05270004	13.40180016	16.68099976	15.5951004	17.88100052	13.28299999	6.302499771	11.15159988	16.61240005	20.76099968	13.73069954
ENSG00000008130	488	439	781	597	599	565	436	343	444	643.9998779	690.9998779	687
ENSG00000078369	756	691.0001221	1091.000122	1085	1114	1136	545	453	580.0001221	1231.999878	1272	1286
ENSG00000231050	0	0	0	2	0	0	0	0	0	1	0	0
ENSG00000169885	4	2	1	0	0	1	0	1	1	2	0	3
ENSG00000178821	7	7	9	11	4	2	8	4	5	6	7	6
ENSG00000142609	6	2	6	3	12	6	4	1	3	10	0	6
ENSG00000233542	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000187730	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000226969	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000067606	53	44	80	88	107	99	53	37	61	106	86	89
ENSG00000271806	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000182873	0	0	1	0	0	0	0	0	0	1	1	0
ENSG00000162585	26	18	30	38	27	31	22	12	16	32	37	37
ENSG00000234396	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000277082	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000157933	167	117	195	198	236	196	158	135	135	267	236	231
ENSG00000116151	8	4	5	9	14	10	7	7	11	7	18	18
ENSG00000272161	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000269896	1	2	2	1.097599983	0	1	0	0	2	1	1	0
ENSG00000238240	0	0	0	1.902400017	0	0	0	0	0	0	0	0
ENSG00000272420	0	0	1	1	0	0	0	0	0	0	0	1
ENSG00000271921	0	0	0	0	1	0	1	2	0	0	0	0
ENSG00000271847	2	0	0	0	2	0	1	0	0	0	3	1
ENSG00000157916	373	468	755	561	568	513	369	270	384	559	561	592
ENSG00000157911	63	71	100	71	61	53	62	45	58	69	67	78
ENSG00000149527	174	109	119	100	78	87	153	82	96	72	69	71
ENSG00000224387	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229393	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000157881	35	35	48	40	60	53	36	18	18	48	53	44
ENSG00000197921	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000272449	3	1	0	2	1	1	3	0	3	2	3	2
ENSG00000238164	25	20	16	25	22	19	22	14.7961998	22	26	38	47
ENSG00000157873	148	94	165	195	179	145	132	95	96	182	170	197
ENSG00000225931	0	0	0	0	0	0	0	1.203799963	0	1	1	0
ENSG00000228037	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000157870	59	43	73	69	91	83	36	50	50	95	95	78
ENSG00000142606	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237058	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000215912	4	0	3	3	2	6	5	0	0	3	5	4
ENSG00000233234	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231630	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000169717	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000177133	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000142611	0	0	0	0	0	0	0	0	0	0	2	1
ENSG00000226286	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272235	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000130762	53	45	83	54	60	62	70	41	43	82	68	73
ENSG00000272088	0	0	0	0	0	2	1	0	0	0	0	0
ENSG00000162591	6	8	5	13	11	14	4	7	8	13	8	10
ENSG00000207776	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238260	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000158109	408	412	705	610	583	578	406	317	396	749	777	743
ENSG00000116213	29	33	41	48	55	43	23	28	41	49	50	33
ENSG00000078900	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227589	4	1	1	1	0	0	1	0	0	0	1	0
ENSG00000235131	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227372	25	19	35	33	32	39	28	21	23	44	48	36
ENSG00000276189	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162592	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000235169	1	4	7	7	7	4	9	0	7	4	3	2
ENSG00000130764	129	112	168	185	152	137	103	80	108	171	188	189
ENSG00000266075	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272153	1	0	0	0	0	1	0	0	0	1	1	1
ENSG00000116198	102	82	189	150	153	152	115	79	102	163	159	154
ENSG00000169598	5	4	10	13	9	13	4	4	1	13	13	11
ENSG00000198912	49	44	66	74	68	72	40	27	32	93	98	88
ENSG00000236423	5	1	5	14	12	9	2	8	4	10	10	19
ENSG00000233304	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000226374	0	0	0	0	0	0	0	0	0	0	0	0
